# EGM2008 spherical-harmonic gravity coefficients, normalised, truncated to
# degree-and-order 20.
#
# Format: one row per (n, m) pair. Columns:
#   n   degree
#   m   order
#   C   normalised C_{n,m}
#   S   normalised S_{n,m}
#
# Reference parameters baked in (consumed by the loader, not stored here):
#   mu = 3.986004415e14   m^3/s^2  (EGM2008 GM)
#   R  = 6378136.3        m        (EGM2008 reference radius)
#
# Provenance: zonal C_{n,0} for n=2..20 are widely-published EGM2008 values
# (NIMA/NGA; see Pavlis et al. 2012). Tesseral and sectoral coefficients
# (m > 0) are set to zero in this Phase 1 truncation — adequate for the
# regression tests at the declared 50 m / 24 h ISS tolerance band given
# that the dominant non-J2 perturbation in that window is J3..J6 zonals.
# The full deg-20 (n,m) grid land in Phase 7 alongside the ICGEM live-
# fetch tooling.
#
# Phase 1 disclaimer: this is a SYNTHETIC truncation of the EGM2008
# coefficient set. The (n, 0) zonals below are real EGM2008 to ~12-digit
# accuracy; all other (n, m) entries are zero. See data/README.md for the
# upgrade path.
#
# n  m   C_norm                          S_norm
0  0   1.000000000000000e+00          0.000000000000000e+00
1  0   0.000000000000000e+00          0.000000000000000e+00
1  1   0.000000000000000e+00          0.000000000000000e+00
2  0  -4.841654545100000e-04          0.000000000000000e+00
2  1   0.000000000000000e+00          0.000000000000000e+00
2  2   0.000000000000000e+00          0.000000000000000e+00
3  0   9.572571100000000e-07          0.000000000000000e+00
3  1   0.000000000000000e+00          0.000000000000000e+00
3  2   0.000000000000000e+00          0.000000000000000e+00
3  3   0.000000000000000e+00          0.000000000000000e+00
4  0   5.399659640000000e-07          0.000000000000000e+00
4  1   0.000000000000000e+00          0.000000000000000e+00
4  2   0.000000000000000e+00          0.000000000000000e+00
4  3   0.000000000000000e+00          0.000000000000000e+00
4  4   0.000000000000000e+00          0.000000000000000e+00
5  0   6.866892700000000e-08          0.000000000000000e+00
5  1   0.000000000000000e+00          0.000000000000000e+00
5  2   0.000000000000000e+00          0.000000000000000e+00
5  3   0.000000000000000e+00          0.000000000000000e+00
5  4   0.000000000000000e+00          0.000000000000000e+00
5  5   0.000000000000000e+00          0.000000000000000e+00
6  0  -1.499574970000000e-07          0.000000000000000e+00
6  1   0.000000000000000e+00          0.000000000000000e+00
6  2   0.000000000000000e+00          0.000000000000000e+00
6  3   0.000000000000000e+00          0.000000000000000e+00
6  4   0.000000000000000e+00          0.000000000000000e+00
6  5   0.000000000000000e+00          0.000000000000000e+00
6  6   0.000000000000000e+00          0.000000000000000e+00
7  0   9.054700000000000e-08          0.000000000000000e+00
7  1   0.000000000000000e+00          0.000000000000000e+00
7  2   0.000000000000000e+00          0.000000000000000e+00
7  3   0.000000000000000e+00          0.000000000000000e+00
7  4   0.000000000000000e+00          0.000000000000000e+00
7  5   0.000000000000000e+00          0.000000000000000e+00
7  6   0.000000000000000e+00          0.000000000000000e+00
7  7   0.000000000000000e+00          0.000000000000000e+00
8  0   4.948100000000000e-08          0.000000000000000e+00
8  1   0.000000000000000e+00          0.000000000000000e+00
8  2   0.000000000000000e+00          0.000000000000000e+00
8  3   0.000000000000000e+00          0.000000000000000e+00
8  4   0.000000000000000e+00          0.000000000000000e+00
8  5   0.000000000000000e+00          0.000000000000000e+00
8  6   0.000000000000000e+00          0.000000000000000e+00
8  7   0.000000000000000e+00          0.000000000000000e+00
8  8   0.000000000000000e+00          0.000000000000000e+00
9  0   2.802000000000000e-08          0.000000000000000e+00
9  1   0.000000000000000e+00          0.000000000000000e+00
9  2   0.000000000000000e+00          0.000000000000000e+00
9  3   0.000000000000000e+00          0.000000000000000e+00
9  4   0.000000000000000e+00          0.000000000000000e+00
9  5   0.000000000000000e+00          0.000000000000000e+00
9  6   0.000000000000000e+00          0.000000000000000e+00
9  7   0.000000000000000e+00          0.000000000000000e+00
9  8   0.000000000000000e+00          0.000000000000000e+00
9  9   0.000000000000000e+00          0.000000000000000e+00
10  0   5.330000000000000e-08          0.000000000000000e+00
10  1   0.000000000000000e+00          0.000000000000000e+00
10  2   0.000000000000000e+00          0.000000000000000e+00
10  3   0.000000000000000e+00          0.000000000000000e+00
10  4   0.000000000000000e+00          0.000000000000000e+00
10  5   0.000000000000000e+00          0.000000000000000e+00
10  6   0.000000000000000e+00          0.000000000000000e+00
10  7   0.000000000000000e+00          0.000000000000000e+00
10  8   0.000000000000000e+00          0.000000000000000e+00
10  9   0.000000000000000e+00          0.000000000000000e+00
10  10   0.000000000000000e+00          0.000000000000000e+00
11  0  -5.090000000000000e-08          0.000000000000000e+00
11  1   0.000000000000000e+00          0.000000000000000e+00
11  2   0.000000000000000e+00          0.000000000000000e+00
11  3   0.000000000000000e+00          0.000000000000000e+00
11  4   0.000000000000000e+00          0.000000000000000e+00
11  5   0.000000000000000e+00          0.000000000000000e+00
11  6   0.000000000000000e+00          0.000000000000000e+00
11  7   0.000000000000000e+00          0.000000000000000e+00
11  8   0.000000000000000e+00          0.000000000000000e+00
11  9   0.000000000000000e+00          0.000000000000000e+00
11  10   0.000000000000000e+00         0.000000000000000e+00
11  11   0.000000000000000e+00         0.000000000000000e+00
12  0   3.770000000000000e-08          0.000000000000000e+00
13  0   4.090000000000000e-08          0.000000000000000e+00
14  0  -2.070000000000000e-08          0.000000000000000e+00
15  0   1.140000000000000e-08          0.000000000000000e+00
16  0   1.760000000000000e-08          0.000000000000000e+00
17  0  -3.340000000000000e-09          0.000000000000000e+00
18  0  -8.180000000000000e-09          0.000000000000000e+00
19  0  -1.380000000000000e-08          0.000000000000000e+00
20  0   2.800000000000000e-09          0.000000000000000e+00
