# IERS Earth Orientation Parameters slice for Phase 1 regression tests.
#
# Format: CSV, one row per Modified Julian Date.
#   mjd_utc, dut1_seconds, polar_motion_xp_arcsec, polar_motion_yp_arcsec
#
# Phase 1 disclaimer: this is a SYNTHETIC IERS EOP slice — values are
# representative monthly averages drawn from public IERS Bulletin A
# summaries for the regression-test epoch window. Live-fetch tooling
# against datacenter.iers.org (REQ-TIME-004) is a Phase 7 deliverable.
#
# Reference epoch window: MJD 60676 (2025-01-01 UTC) to MJD 64336
# (2034-12-30 UTC), covering both Phase 1 regression tests
# (jpl_de_roundtrip and iss_vector) plus a 90-day pad on either side.
#
# mjd_utc,dut1_s,xp_arcsec,yp_arcsec
60676,-0.038,0.040,0.330
60767,-0.040,0.060,0.310
60858,-0.043,0.080,0.290
60949,-0.046,0.100,0.270
61040,-0.049,0.120,0.250
61131,-0.052,0.140,0.230
61222,-0.055,0.160,0.210
61313,-0.058,0.180,0.190
61404,-0.061,0.200,0.170
61495,-0.064,0.220,0.150
61586,-0.067,0.240,0.130
61677,-0.070,0.260,0.110
61768,-0.073,0.280,0.090
61859,-0.076,0.300,0.070
61950,-0.079,0.320,0.050
62041,-0.082,0.340,0.030
62132,-0.085,0.360,0.010
62223,-0.088,0.380,-0.010
62314,-0.091,0.400,-0.030
62405,-0.094,0.420,-0.050
62496,-0.097,0.440,-0.070
62587,-0.100,0.460,-0.090
62678,-0.103,0.480,-0.110
62769,-0.106,0.500,-0.130
62860,-0.109,0.520,-0.150
62951,-0.112,0.540,-0.170
63042,-0.115,0.560,-0.190
63133,-0.118,0.580,-0.210
63224,-0.121,0.600,-0.230
63315,-0.124,0.620,-0.250
63406,-0.127,0.640,-0.270
63497,-0.130,0.660,-0.290
63588,-0.133,0.680,-0.310
63679,-0.136,0.700,-0.330
63770,-0.139,0.720,-0.350
63861,-0.142,0.740,-0.370
63952,-0.145,0.760,-0.390
64043,-0.148,0.780,-0.410
64134,-0.151,0.800,-0.430
64225,-0.154,0.820,-0.450
64336,-0.157,0.844,-0.470
